epoch,lr,train_loss,val_map50,val_map,epoch_time_s
1,0.0009890738003669028,1.52877,0.17291,0.04291,102.6
2,0.0009567727288213003,1.43305,0.18653,0.04674,70.3
3,0.0009045084971874737,1.39803,0.20796,0.05208,70.0
4,0.0008345653031794292,1.3757,0.22467,0.05693,70.0
5,0.00075,1.36132,0.22902,0.05929,77.1
6,0.0006545084971874737,1.34397,0.24177,0.06484,77.7
7,0.0005522642316338268,1.33369,0.2513,0.06827,70.0
8,0.0004477357683661734,1.32635,0.24762,0.06551,70.0
9,0.0003454915028125264,1.31355,0.26314,0.07214,69.9
10,0.0002500000000000001,1.30605,0.25823,0.06904,69.5
11,0.00016543469682057103,1.29981,0.26524,0.07249,69.8
12,9.549150281252631e-05,1.29783,0.26452,0.07276,70.4
13,4.322727117869951e-05,1.2924,0.27138,0.0743,69.8
14,1.0926199633097156e-05,1.29314,0.27179,0.07427,69.2
15,0.0,1.29078,0.27235,0.07485,70.2
