epoch,lr,train_loss,val_map50,val_map,epoch_time_s
1,0.004945369001834514,1.45525,0.09808,0.01866,76.0
2,0.004783863644106502,1.3708,0.09983,0.01952,62.3
3,0.0045225424859373685,1.3511,0.13737,0.02718,62.7
4,0.0041728265158971455,1.3235,0.16047,0.03687,63.3
5,0.00375,1.30681,0.16882,0.03878,70.8
6,0.0032725424859373687,1.28441,0.2079,0.05202,71.9
7,0.002761321158169134,1.271,0.22508,0.06053,63.9
8,0.002238678841830867,1.24775,0.21914,0.05983,63.1
9,0.001727457514062632,1.23466,0.24357,0.06735,63.5
10,0.0012500000000000007,1.21616,0.25704,0.07525,62.3
11,0.0008271734841028553,1.20443,0.25541,0.07235,62.9
12,0.00047745751406263163,1.19308,0.25999,0.07615,63.6
13,0.00021613635589349755,1.18527,0.26799,0.07774,63.2
14,5.463099816548578e-05,1.1799,0.26666,0.08033,62.7
15,0.0,1.17749,0.26662,0.08062,63.4
