epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.2685,2.33728,1.8001,1.19904,0.65305,0.52809,0.53346,0.24288,2.02698,1.25236,1.10169,0.000663121,0.000663121,0.000663121
2,106.355,1.94038,1.03844,1.06035,0.60241,0.581,0.56609,0.24188,1.96646,1.05176,1.09143,0.00130346,0.00130346,0.00130346
3,156.335,1.86931,0.93595,1.05586,0.74683,0.65053,0.67199,0.33545,1.72123,0.86275,1.03929,0.00191739,0.00191739,0.00191739
4,208.915,1.79,0.88753,1.03105,0.73542,0.6635,0.69917,0.34224,1.697,0.86086,1.02912,0.0018812,0.0018812,0.0018812
5,262.589,1.76071,0.8708,1.0257,0.7362,0.66777,0.69622,0.35002,1.66357,0.85258,1.01467,0.0018416,0.0018416,0.0018416
6,313.051,1.71651,0.84563,1.01506,0.7846,0.68038,0.71669,0.36991,1.64871,0.80219,1.01577,0.001802,0.001802,0.001802
7,363.198,1.69813,0.83108,1.00617,0.77015,0.67284,0.70442,0.36053,1.66026,0.82531,1.02452,0.0017624,0.0017624,0.0017624
8,414.275,1.70113,0.82694,1.00545,0.77739,0.67242,0.71094,0.37269,1.63679,0.78824,1.01675,0.0017228,0.0017228,0.0017228
9,465.953,1.67408,0.81559,1.00112,0.79289,0.70733,0.74841,0.38878,1.62131,0.78659,0.99967,0.0016832,0.0016832,0.0016832
10,517.287,1.67394,0.81099,0.99412,0.79117,0.69501,0.73251,0.39021,1.57749,0.785,0.99573,0.0016436,0.0016436,0.0016436
11,568.714,1.64792,0.79884,0.9884,0.80426,0.70407,0.74039,0.3915,1.59388,0.77638,0.99524,0.001604,0.001604,0.001604
12,620.766,1.64173,0.79579,0.99061,0.79141,0.69853,0.73122,0.38345,1.61655,0.77797,1.00323,0.0015644,0.0015644,0.0015644
13,672.043,1.61969,0.78265,0.98681,0.80834,0.71428,0.75896,0.40716,1.55798,0.76481,0.9822,0.0015248,0.0015248,0.0015248
14,723.102,1.63234,0.783,0.9863,0.81737,0.72336,0.76239,0.41094,1.55086,0.753,0.98017,0.0014852,0.0014852,0.0014852
15,778.221,1.61252,0.77231,0.9821,0.80904,0.72899,0.76989,0.41592,1.53894,0.75251,0.97385,0.0014456,0.0014456,0.0014456
16,827.352,1.61857,0.77414,0.97995,0.80787,0.73598,0.77047,0.41686,1.54587,0.74104,0.97787,0.001406,0.001406,0.001406
17,877.063,1.60354,0.76854,0.98051,0.80775,0.73131,0.77677,0.41584,1.5381,0.74663,0.97229,0.0013664,0.0013664,0.0013664
18,926.893,1.57829,0.75872,0.97409,0.81343,0.7331,0.773,0.41503,1.54322,0.74262,0.97261,0.0013268,0.0013268,0.0013268
19,976.932,1.59137,0.75555,0.97131,0.78284,0.72426,0.75662,0.40723,1.54746,0.76329,0.97343,0.0012872,0.0012872,0.0012872
20,1027.08,1.58285,0.75275,0.97129,0.82444,0.73506,0.76801,0.42057,1.5261,0.7234,0.97546,0.0012476,0.0012476,0.0012476
