epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1047,2.12696,1.68385,1.38874,0.61532,0.51092,0.52539,0.24284,1.84712,1.22192,1.28456,0.00033156,0.00033156,0.0671755
2,190.457,1.8778,1.15244,1.25672,0.71522,0.60408,0.63635,0.31159,1.72193,1.03811,1.2203,0.000651729,0.000651729,0.0341624
3,320.401,1.77278,1.0357,1.20432,0.73142,0.64229,0.67285,0.33948,1.66918,0.96778,1.19444,0.000958697,0.000958697,0.001136
4,94.4072,1.71583,0.97347,1.17206,0.75714,0.67268,0.70926,0.36572,1.61907,0.93159,1.16377,0.0009406,0.0009406,0.0009406
5,93.4902,1.66722,0.93411,1.14648,0.76157,0.6864,0.72183,0.37648,1.59716,0.90401,1.15185,0.0009208,0.0009208,0.0009208
6,185.823,1.66562,0.91994,1.1425,0.78594,0.70212,0.74046,0.39226,1.56831,0.87123,1.13836,0.000901,0.000901,0.000901
7,304.323,1.62728,0.89931,1.12542,0.78961,0.70642,0.7493,0.39932,1.55997,0.85893,1.13354,0.0008812,0.0008812,0.0008812
8,387.518,1.62105,0.88823,1.12195,0.79604,0.7176,0.7601,0.40858,1.54001,0.85196,1.11848,0.0008614,0.0008614,0.0008614
9,470.995,1.61252,0.87733,1.11508,0.79949,0.72047,0.76565,0.41423,1.5314,0.83763,1.11326,0.0008416,0.0008416,0.0008416
10,542.027,1.5947,0.86476,1.10247,0.8062,0.72949,0.77191,0.41851,1.5191,0.82924,1.10538,0.0008218,0.0008218,0.0008218
11,670.885,1.59611,0.8603,1.10434,0.80845,0.73381,0.778,0.42128,1.51682,0.82532,1.10202,0.000802,0.000802,0.000802
12,752.169,1.5792,0.84367,1.09309,0.81823,0.7337,0.77858,0.42515,1.51083,0.80638,1.10227,0.0007822,0.0007822,0.0007822
13,888.25,1.56433,0.8395,1.09219,0.81191,0.73806,0.77846,0.42518,1.50887,0.80822,1.0987,0.0007624,0.0007624,0.0007624
14,991.033,1.55381,0.83391,1.08896,0.81983,0.73832,0.78223,0.42893,1.50745,0.80809,1.0956,0.0007426,0.0007426,0.0007426
15,1058.43,1.54846,0.82523,1.08466,0.81659,0.74345,0.7833,0.4312,1.50002,0.79724,1.09246,0.0007228,0.0007228,0.0007228
