epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3304,1.86032,1.53366,1.19478,0.73467,0.63559,0.67122,0.33106,1.73813,1.0567,1.10844,0.000663121,0.000663121,0.000663121
2,84.3681,1.57727,0.90946,1.07419,0.77608,0.67643,0.70843,0.36892,1.61971,0.91427,1.08155,0.00130346,0.00130346,0.00130346
3,125.345,1.52665,0.8465,1.05889,0.80027,0.71914,0.7551,0.40644,1.5834,0.82434,1.07442,0.00191739,0.00191739,0.00191739
4,165.939,1.48203,0.79843,1.04021,0.81844,0.72657,0.76952,0.41546,1.55597,0.81315,1.07223,0.0018812,0.0018812,0.0018812
5,206.111,1.44406,0.77161,1.02665,0.81232,0.72458,0.76467,0.41844,1.52385,0.79773,1.05369,0.0018416,0.0018416,0.0018416
6,249.521,1.42457,0.74989,1.01701,0.81471,0.74417,0.77511,0.42743,1.51269,0.79467,1.04583,0.001802,0.001802,0.001802
7,290.223,1.4093,0.73494,1.00919,0.79387,0.70376,0.74478,0.40785,1.54329,0.80475,1.0585,0.0017624,0.0017624,0.0017624
8,330.787,1.39223,0.71384,1.00267,0.81938,0.74812,0.78341,0.43099,1.5149,0.78532,1.03803,0.0017228,0.0017228,0.0017228
9,371.449,1.36289,0.69638,0.99141,0.8348,0.74207,0.7907,0.44133,1.511,0.75277,1.04181,0.0016832,0.0016832,0.0016832
10,411.734,1.35056,0.68387,0.9862,0.83094,0.75053,0.78809,0.43782,1.51492,0.74045,1.04572,0.0016436,0.0016436,0.0016436
11,453.209,1.3307,0.66648,0.97908,0.82099,0.7362,0.77378,0.4271,1.52645,0.76325,1.05344,0.001604,0.001604,0.001604
12,493.721,1.31664,0.65416,0.9749,0.82999,0.73556,0.77782,0.43583,1.51312,0.74507,1.04759,0.0015644,0.0015644,0.0015644
13,534.245,1.30335,0.6441,0.96924,0.84445,0.76112,0.7984,0.44422,1.50817,0.72647,1.04772,0.0015248,0.0015248,0.0015248
14,574.548,1.27878,0.62874,0.96077,0.83609,0.75857,0.79219,0.44188,1.51102,0.72178,1.04744,0.0014852,0.0014852,0.0014852
15,615.257,1.26781,0.62193,0.95718,0.84524,0.76594,0.80163,0.44786,1.51678,0.722,1.04622,0.0014456,0.0014456,0.0014456
16,655.821,1.25453,0.61508,0.95153,0.85004,0.75951,0.79445,0.44496,1.51404,0.71906,1.05014,0.001406,0.001406,0.001406
17,696.145,1.23482,0.60333,0.94676,0.84573,0.7594,0.79769,0.44471,1.51193,0.7117,1.05097,0.0013664,0.0013664,0.0013664
18,737.27,1.22373,0.59618,0.94214,0.85148,0.76319,0.80169,0.44579,1.51873,0.70493,1.05235,0.0013268,0.0013268,0.0013268
19,778.191,1.19881,0.58458,0.93595,0.84268,0.76382,0.79825,0.44028,1.53387,0.71399,1.05762,0.0012872,0.0012872,0.0012872
20,818.332,1.18906,0.57945,0.93269,0.84816,0.76116,0.80259,0.44603,1.51919,0.70782,1.0543,0.0012476,0.0012476,0.0012476
21,859.429,1.16602,0.56817,0.92634,0.84507,0.7665,0.78977,0.43869,1.52333,0.70935,1.05973,0.001208,0.001208,0.001208
22,900.536,1.15569,0.56567,0.92372,0.85412,0.76162,0.80229,0.443,1.52878,0.69897,1.05996,0.0011684,0.0011684,0.0011684
23,941.358,1.14316,0.55902,0.92011,0.84695,0.76791,0.79944,0.44088,1.53619,0.70268,1.06329,0.0011288,0.0011288,0.0011288
24,981.983,1.11806,0.54697,0.91406,0.84886,0.76487,0.79908,0.43976,1.53428,0.70726,1.06491,0.0010892,0.0010892,0.0010892
25,1023.68,1.10002,0.54146,0.91026,0.8362,0.75148,0.77573,0.41969,1.58164,0.71751,1.08503,0.0010496,0.0010496,0.0010496
26,1064.14,1.0954,0.54029,0.90869,0.84659,0.7596,0.79205,0.43565,1.55067,0.70536,1.07116,0.00101,0.00101,0.00101
27,1105.84,1.07973,0.53283,0.90536,0.8353,0.77014,0.79602,0.43534,1.54774,0.71118,1.06948,0.0009704,0.0009704,0.0009704
28,1146.41,1.05864,0.52491,0.90067,0.84365,0.76172,0.78919,0.42745,1.57062,0.71129,1.08516,0.0009308,0.0009308,0.0009308
29,1186.67,1.05188,0.52462,0.8993,0.84001,0.76072,0.7841,0.42592,1.56893,0.70902,1.08623,0.0008912,0.0008912,0.0008912
30,1228.57,1.03049,0.51369,0.89357,0.83835,0.77007,0.79057,0.43112,1.56328,0.70815,1.08006,0.0008516,0.0008516,0.0008516
31,1268.89,0.99959,0.50242,0.88722,0.84007,0.76424,0.78807,0.42799,1.56152,0.70518,1.08322,0.000812,0.000812,0.000812
32,1309.14,0.988,0.49932,0.88519,0.84076,0.76648,0.78949,0.43017,1.56362,0.71671,1.08799,0.0007724,0.0007724,0.0007724
33,1349.66,0.98449,0.49752,0.88404,0.84353,0.76,0.7783,0.42191,1.5773,0.70571,1.09088,0.0007328,0.0007328,0.0007328
34,1390.14,0.95959,0.48888,0.87985,0.84306,0.75965,0.78746,0.42587,1.57234,0.7071,1.08808,0.0006932,0.0006932,0.0006932
35,1430.31,0.94709,0.48454,0.87667,0.8415,0.76061,0.78864,0.42424,1.58084,0.71245,1.09299,0.0006536,0.0006536,0.0006536
36,1470.99,0.93012,0.47778,0.87319,0.84239,0.75572,0.77811,0.41699,1.58599,0.7118,1.09629,0.000614,0.000614,0.000614
37,1511.37,0.90912,0.47193,0.86943,0.8331,0.76297,0.77984,0.41415,1.58754,0.71854,1.09993,0.0005744,0.0005744,0.0005744
38,1551.69,0.9022,0.47004,0.86829,0.83618,0.76257,0.78269,0.41585,1.59506,0.71712,1.10098,0.0005348,0.0005348,0.0005348
