epoch,lr,train_loss,val_map50,val_map,epoch_time_s
1,0.004945369001834514,1.496,0.20566,0.05212,76.8
2,0.004783863644106502,1.38346,0.22899,0.05983,63.1
3,0.0045225424859373685,1.34545,0.26277,0.07048,63.2
4,0.0041728265158971455,1.30987,0.32565,0.0951,62.7
5,0.00375,1.27764,0.32767,0.095,70.3
6,0.0032725424859373687,1.24666,0.37901,0.11982,85.8
7,0.002761321158169134,1.22727,0.3882,0.12732,68.6
8,0.002238678841830867,1.20646,0.39799,0.13138,68.8
9,0.001727457514062632,1.18793,0.41068,0.14051,68.7
10,0.0012500000000000007,1.17036,0.41803,0.14123,68.5
11,0.0008271734841028553,1.15867,0.41631,0.14153,68.3
12,0.00047745751406263163,1.14354,0.42223,0.14891,68.6
13,0.00021613635589349755,1.13637,0.42497,0.14907,68.9
14,5.463099816548578e-05,1.13148,0.42767,0.15098,68.0
15,0.0,1.12424,0.42931,0.15232,68.4
