epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,457.177,1.16161,0.35521,0.33179,0.78082,0.66422,0.68067,0.3521,0.86025,0.3885,0.20071,0.000665778,0.000665778,0.000665778
2,792.584,0.81,0.40209,0.16619,0.80257,0.69476,0.72809,0.38323,0.76428,0.40074,0.15628,0.00120053,0.00120053,0.00120053
3,1094.04,0.75197,0.40497,0.14204,0.81425,0.71524,0.74393,0.39919,0.74021,0.39877,0.14835,0.00160329,0.00160329,0.00160329
4,1355.19,0.7382,0.40484,0.13614,0.79912,0.71001,0.7354,0.39401,0.74794,0.4018,0.1472,0.001406,0.001406,0.001406
5,1617.95,0.71829,0.40636,0.13271,0.82457,0.7333,0.76552,0.41693,0.71452,0.39707,0.1409,0.001208,0.001208,0.001208
6,1878.87,0.69799,0.40234,0.12506,0.83318,0.74034,0.77126,0.42624,0.70033,0.39825,0.13712,0.00101,0.00101,0.00101
7,2141.7,0.68478,0.40257,0.12135,0.83521,0.74778,0.7803,0.42568,0.70021,0.39904,0.13602,0.000812,0.000812,0.000812
8,2399.22,0.67089,0.40344,0.11893,0.83812,0.75272,0.78636,0.43256,0.6814,0.40028,0.1341,0.000614,0.000614,0.000614
9,2653.24,0.6595,0.40253,0.11694,0.84207,0.75933,0.79148,0.44517,0.67277,0.39841,0.13019,0.000416,0.000416,0.000416
10,2913.37,0.6524,0.4012,0.11489,0.83665,0.76721,0.79314,0.44554,0.66895,0.39782,0.12933,0.000218,0.000218,0.000218
