epoch,lr,train_loss,val_map50,val_map,epoch_time_s
1,0.000996057350657239,7.19008,0.02773,0.00484,50.4
2,0.0009842915805643156,5.48477,0.04533,0.00697,25.3
3,0.0009648882429441258,5.09734,0.06575,0.01413,24.6
4,0.0009381533400219318,4.89577,0.0738,0.01563,24.7
5,0.0009045084971874737,4.72714,0.08009,0.01549,19.7
6,0.0008644843137107057,4.59764,0.08397,0.01533,19.9
7,0.0008187119948743448,4.51444,0.09287,0.01761,19.6
8,0.0007679133974894982,4.43329,0.09469,0.01761,19.9
9,0.0007128896457825362,4.35944,0.09853,0.01821,19.8
10,0.0006545084971874736,4.30641,0.09592,0.01649,19.9
11,0.0005936906572928624,4.25626,0.10405,0.01873,19.5
12,0.0005313952597646568,4.22485,0.10529,0.01899,25.6
13,0.00046860474023534336,4.1607,0.10734,0.02002,28.5
14,0.0004063093427071377,4.15234,0.11126,0.02007,24.1
15,0.00034549150281252644,4.11691,0.11534,0.02125,24.4
16,0.00028711035421746366,4.11047,0.11451,0.02047,23.9
17,0.00023208660251050156,4.05991,0.11801,0.02161,24.5
18,0.00018128800512565513,4.07646,0.1174,0.02216,24.8
19,0.00013551568628929433,4.05337,0.11702,0.02107,24.0
20,9.549150281252634e-05,4.03584,0.11784,0.02119,24.2
21,6.184665997806823e-05,4.04106,0.11879,0.02145,24.3
22,3.511175705587433e-05,4.05176,0.11888,0.02148,24.2
23,1.570841943568452e-05,4.03892,0.11829,0.02141,19.8
24,3.942649342761118e-06,4.05069,0.11847,0.02141,19.7
25,0.0,4.03566,0.11898,0.02152,20.0
