epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4665,2.04347,2.0037,1.22956,0.71686,0.63767,0.67099,0.32975,1.7292,1.13299,1.15009,0.000663121,0.000663121,0.000663121
2,293.888,1.77815,1.01163,1.11474,0.71553,0.67993,0.69111,0.3412,1.65928,0.96789,1.11524,0.00130346,0.00130346,0.00130346
3,413.589,1.70139,0.93429,1.09398,0.74102,0.68282,0.71258,0.3691,1.6065,0.91503,1.09021,0.00191739,0.00191739,0.00191739
4,803.848,1.64864,0.89558,1.07519,0.78411,0.72356,0.75117,0.39474,1.58176,0.8721,1.08073,0.0018812,0.0018812,0.0018812
5,871.402,1.6358,0.88585,1.06823,0.78971,0.71093,0.74848,0.40385,1.56304,0.85085,1.06343,0.0018416,0.0018416,0.0018416
6,951.025,1.60237,0.8584,1.05113,0.78225,0.67831,0.71121,0.37969,1.61598,0.85867,1.10323,0.001802,0.001802,0.001802
7,1016.91,1.60687,0.8565,1.05369,0.80065,0.71053,0.75776,0.4101,1.5313,0.84905,1.05456,0.0017624,0.0017624,0.0017624
8,1101.18,1.57229,0.82902,1.03838,0.81765,0.74067,0.78166,0.42776,1.53817,0.79405,1.05647,0.0017228,0.0017228,0.0017228
9,1183.13,1.55371,0.81816,1.03556,0.81456,0.74038,0.77374,0.42606,1.52609,0.80319,1.05197,0.0016832,0.0016832,0.0016832
10,1401.09,1.54086,0.80838,1.03124,0.81722,0.7359,0.78253,0.43404,1.5064,0.79723,1.04227,0.0016436,0.0016436,0.0016436
11,1480.92,1.52943,0.79738,1.0258,0.8259,0.74118,0.78444,0.43326,1.49015,0.79647,1.03752,0.001604,0.001604,0.001604
12,1594.3,1.55465,0.7999,1.02741,0.81974,0.75136,0.79236,0.4402,1.49203,0.77047,1.03607,0.0015644,0.0015644,0.0015644
13,1677.31,1.53241,0.78956,1.02443,0.83517,0.76226,0.80567,0.45222,1.47121,0.75101,1.03073,0.0015248,0.0015248,0.0015248
14,1742.3,1.52147,0.78479,1.02366,0.83189,0.74423,0.78537,0.44043,1.48894,0.76742,1.03465,0.0014852,0.0014852,0.0014852
15,1826.48,1.51234,0.77485,1.01349,0.82881,0.73195,0.78543,0.44315,1.47029,0.76338,1.02947,0.0014456,0.0014456,0.0014456
16,1905.22,1.50602,0.77094,1.01543,0.83552,0.75674,0.80537,0.45203,1.46644,0.76018,1.02646,0.001406,0.001406,0.001406
17,1977.53,1.51946,0.77331,1.01897,0.84713,0.76994,0.80867,0.45823,1.47697,0.74324,1.02858,0.0013664,0.0013664,0.0013664
18,2056.55,1.49867,0.76177,1.01141,0.8443,0.76833,0.80802,0.45906,1.45514,0.74077,1.02108,0.0013268,0.0013268,0.0013268
19,2129.92,1.48688,0.75138,1.01023,0.84667,0.77304,0.81476,0.46519,1.44721,0.73072,1.0155,0.0012872,0.0012872,0.0012872
