epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9067,2.03615,1.67845,1.21136,0.73685,0.60748,0.66049,0.32601,1.75144,1.11735,1.10851,0.000663121,0.000663121,0.000663121
2,132.354,1.72319,0.97765,1.07983,0.70689,0.64388,0.6541,0.31097,1.76025,1.00722,1.12615,0.00130346,0.00130346,0.00130346
3,213.376,1.68216,0.9194,1.07648,0.75702,0.66074,0.68549,0.35457,1.67213,0.92362,1.12002,0.00191739,0.00191739,0.00191739
4,286.608,1.63907,0.8848,1.06294,0.78753,0.71546,0.75517,0.3963,1.59493,0.85153,1.08932,0.0018812,0.0018812,0.0018812
5,357.725,1.60959,0.86822,1.05573,0.79222,0.68735,0.73723,0.39531,1.56401,0.84668,1.06758,0.0018416,0.0018416,0.0018416
6,430.267,1.57741,0.83712,1.04503,0.81644,0.71635,0.76021,0.41043,1.56658,0.80595,1.07828,0.001802,0.001802,0.001802
7,526.694,1.57933,0.82901,1.04296,0.81195,0.71988,0.76367,0.40739,1.58082,0.81548,1.08308,0.0017624,0.0017624,0.0017624
8,590.808,1.56342,0.81453,1.03419,0.803,0.73339,0.77477,0.42144,1.54542,0.79919,1.06258,0.0017228,0.0017228,0.0017228
9,645.87,1.54262,0.80303,1.03038,0.82396,0.74998,0.79628,0.43557,1.5154,0.78805,1.04655,0.0016832,0.0016832,0.0016832
10,719.454,1.54696,0.79675,1.02458,0.82882,0.75951,0.80578,0.45023,1.48228,0.76856,1.03683,0.0016436,0.0016436,0.0016436
11,795.83,1.53353,0.79266,1.02188,0.81944,0.73419,0.77775,0.4308,1.50114,0.77878,1.04936,0.001604,0.001604,0.001604
12,852.788,1.51588,0.78103,1.01876,0.83831,0.77118,0.81265,0.45346,1.48356,0.76045,1.03315,0.0015644,0.0015644,0.0015644
13,928.403,1.50657,0.77015,1.01833,0.83568,0.75489,0.79912,0.44984,1.47862,0.75743,1.03547,0.0015248,0.0015248,0.0015248
14,990.042,1.51939,0.77078,1.0186,0.84211,0.75963,0.8056,0.45272,1.46675,0.74657,1.02444,0.0014852,0.0014852,0.0014852
15,1186.4,1.50177,0.75766,1.01263,0.83471,0.76188,0.8092,0.45965,1.45763,0.7316,1.0266,0.0014456,0.0014456,0.0014456
16,1253.74,1.50279,0.75778,1.01023,0.84347,0.76206,0.81167,0.45815,1.46332,0.74332,1.02342,0.001406,0.001406,0.001406
17,1327.12,1.4882,0.75356,1.01106,0.83945,0.76233,0.81224,0.44933,1.50096,0.75248,1.03827,0.0013664,0.0013664,0.0013664
18,1412.57,1.47678,0.74778,1.00789,0.84286,0.77583,0.81736,0.46116,1.46389,0.73038,1.02019,0.0013268,0.0013268,0.0013268
19,1474.85,1.48271,0.73268,1.00184,0.83625,0.76638,0.81073,0.45919,1.44876,0.73131,1.01497,0.0012872,0.0012872,0.0012872
20,1525.28,1.47519,0.7294,1.00286,0.85185,0.7786,0.81775,0.46786,1.44032,0.7121,1.01667,0.0012476,0.0012476,0.0012476
21,1578.81,1.48133,0.73025,0.99989,0.85429,0.77702,0.82403,0.46973,1.44825,0.71602,1.01824,0.001208,0.001208,0.001208
22,1633.69,1.4769,0.73196,0.99984,0.8532,0.78146,0.82177,0.47074,1.44055,0.70465,1.01359,0.0011684,0.0011684,0.0011684
23,1684.72,1.46236,0.72156,0.99711,0.85043,0.77297,0.81167,0.46492,1.44619,0.70775,1.01821,0.0011288,0.0011288,0.0011288
24,1777.07,1.46,0.71735,0.99553,0.85438,0.78037,0.82069,0.47039,1.43675,0.70962,1.01625,0.0010892,0.0010892,0.0010892
25,1837.29,1.46005,0.71836,0.99514,0.85708,0.78961,0.8343,0.47503,1.43717,0.69847,1.01548,0.0010496,0.0010496,0.0010496
26,1886.76,1.45103,0.70906,0.99419,0.85908,0.78758,0.82682,0.47767,1.42839,0.69535,1.00892,0.00101,0.00101,0.00101
27,1941.55,1.46256,0.71103,0.99161,0.85726,0.79439,0.8376,0.48293,1.43289,0.69459,1.01386,0.0009704,0.0009704,0.0009704
28,2018.29,1.45537,0.70874,0.9943,0.86058,0.78723,0.83678,0.47739,1.43832,0.69355,1.01419,0.0009308,0.0009308,0.0009308
29,2080.94,1.46009,0.708,0.99026,0.85292,0.77842,0.82349,0.47365,1.44227,0.69446,1.01721,0.0008912,0.0008912,0.0008912
30,2146.6,1.43621,0.69842,0.98945,0.86166,0.79324,0.83649,0.48518,1.4161,0.68832,1.00991,0.0008516,0.0008516,0.0008516
31,2239.7,1.43734,0.69596,0.9857,0.86468,0.78854,0.83562,0.47927,1.42507,0.68307,1.00818,0.000812,0.000812,0.000812
32,2298.31,1.43552,0.69607,0.98517,0.86518,0.79031,0.83723,0.4869,1.41455,0.68308,1.00397,0.0007724,0.0007724,0.0007724
33,2357.83,1.43736,0.69028,0.98288,0.86109,0.79374,0.83501,0.48333,1.41908,0.68032,1.00724,0.0007328,0.0007328,0.0007328
34,2565.4,1.43246,0.68748,0.98396,0.86736,0.79528,0.83922,0.48689,1.41477,0.66979,1.00697,0.0006932,0.0006932,0.0006932
35,2619.86,1.42676,0.68346,0.9811,0.87251,0.79653,0.84074,0.4882,1.41144,0.65942,1.0052,0.0006536,0.0006536,0.0006536
36,2677.12,1.4266,0.68302,0.98371,0.86512,0.7997,0.84152,0.49058,1.41515,0.66689,1.00322,0.000614,0.000614,0.000614
37,2740.51,1.423,0.68174,0.98128,0.86314,0.79253,0.83958,0.48745,1.4159,0.67068,1.00405,0.0005744,0.0005744,0.0005744
38,2796.73,1.42896,0.67594,0.98222,0.87258,0.79789,0.84228,0.49087,1.409,0.66076,1.00476,0.0005348,0.0005348,0.0005348
39,2883.66,1.41549,0.67213,0.97924,0.8709,0.79791,0.84228,0.48888,1.41804,0.66068,1.005,0.0004952,0.0004952,0.0004952
40,2953.28,1.40893,0.66966,0.97709,0.87285,0.80079,0.84351,0.49287,1.40696,0.65352,1.00119,0.0004556,0.0004556,0.0004556
41,2993.47,1.40306,0.68186,0.99679,0.87092,0.79385,0.84241,0.48885,1.40877,0.67466,1.00375,0.000416,0.000416,0.000416
42,3033.75,1.38993,0.66612,0.99233,0.87007,0.79923,0.84432,0.49302,1.40868,0.6618,1.00354,0.0003764,0.0003764,0.0003764
43,3074.19,1.3841,0.66126,0.99003,0.87023,0.80056,0.84823,0.49438,1.40528,0.65906,1.00129,0.0003368,0.0003368,0.0003368
44,3113.84,1.37829,0.65546,0.99032,0.87126,0.80312,0.84628,0.49515,1.40585,0.65631,1.00194,0.0002972,0.0002972,0.0002972
45,3153.74,1.37536,0.65092,0.98531,0.87365,0.80211,0.8436,0.49403,1.40427,0.65024,1.00177,0.0002576,0.0002576,0.0002576
46,3193.81,1.37471,0.64931,0.98806,0.87416,0.80321,0.8425,0.4949,1.40236,0.65114,1.0019,0.000218,0.000218,0.000218
47,3233.44,1.37066,0.6467,0.98253,0.87349,0.80249,0.84709,0.49765,1.40232,0.64873,1.00088,0.0001784,0.0001784,0.0001784
48,3273.52,1.36514,0.64234,0.98547,0.8737,0.80472,0.8525,0.49847,1.40153,0.64857,1.00046,0.0001388,0.0001388,0.0001388
49,3313.9,1.36297,0.6398,0.9814,0.8763,0.80221,0.85106,0.49906,1.39706,0.6475,0.99783,9.92e-05,9.92e-05,9.92e-05
50,3353.66,1.35684,0.63581,0.98314,0.87829,0.80327,0.85321,0.49938,1.39719,0.64706,0.99813,5.96e-05,5.96e-05,5.96e-05
